Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5xZTPtpyD5AceTwWABrybk,"Goles Perdidos","Goles Perdidos","Maquiny;Azevedo;Orochi",2016-06-12,237749,46,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:03Z,"hip hop brasileiro,trap brasileiro,trap funk,trap","ModestiaParte",0.722,0.482,2,-8.356,1,0.0894,0.523,0,0.12,0.377,114.964,4
spotify:track:43PJcmWnRCYt7SomaJZ4NT,"Ego","Ego","Maquiny;Azevedo;Orochi",2017-07-13,223995,35,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:09Z,"hip hop brasileiro,trap brasileiro,trap funk,trap","Modestiaparte",0.683,0.7,2,-7.026,1,0.0514,0.0421,0.000279,0.341,0.136,104.064,4
spotify:track:6rYggKzXsqGpd1I18N7Rhs,"Mainstreet","Mainstreet","Orochi",2018-08-20,209500,50,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:15Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Orochi",0.482,0.616,8,-6.831,0,0.349,0.0274,0,0.0888,0.546,83.215,4
spotify:track:6yBJ12HCiAx2IDK2ATFTCc,"Juízo Final","Juízo Final","Orochi;Papatinho",2019-03-08,252000,43,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:26Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Orochi Records",0.646,0.391,0,-6.777,0,0.0744,0.337,0.0000261,0.0841,0.252,120.014,4
spotify:track:2KZaFTZd9CYbgMKkmpVJQB,"Real Freestyle 1999","Real Freestyle 1999","Orochi;Mirele;Rap Box",2019-06-04,179170,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:33Z,"trap brasileiro,hip hop brasileiro,trap funk,trap,pop nacional,boom bap","Casa 1 Records / Rap Box",0.606,0.473,2,-10.473,0,0.128,0.242,0,0.104,0.269,151.931,4
spotify:track:1DdEU9f7uXklMx6Dm0Mdwq,"Acende o Isqueiro","Acende o Isqueiro","Orochi;Kizzy",2019-06-14,207529,67,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:37Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Orochi",0.48,0.565,8,-9.954,0,0.375,0.38,0,0.096,0.806,112.988,5
spotify:track:4R51qsd3PgnVcIH6cEnwHb,"Ballantine's","Ballantine's","Dallass;Anezzi;Orochi",2019-07-31,233411,52,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:41Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Som Livre",0.666,0.64,0,-6.04,1,0.0329,0.0749,0,0.399,0.113,136.022,4
spotify:track:4RC7vpeUYzx6kChixUpTNs,"Caçando Tesouro","Caçando Tesouro","A Banca Records;Pk;Orochi;Filipe Ret",2020-02-14,224262,0,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:02:48Z,"hip hop brasileiro,trap brasileiro,funk,trap funk,trap","A Banca Records",0.646,0.497,1,-10.291,1,0.385,0.323,0,0.102,0.396,122.06,3
spotify:track:0In8P4w9CvupkqGBuyHTLv,"Assault (Angra)","Assault (Angra)","Mainstreet;Orochi;Borges;PL Quest;Buddy;Ajaxx;Kizzy;Azevedo",2020-12-03,269998,44,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:03:00Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Mainstreet Records",0.378,0.583,1,-8.048,1,0.155,0.0509,0,0.488,0.245,91.901,4
spotify:track:6xgK5afWFpPmB3z1T4aFr8,"Acelerando","Celebridade","Orochi;jess beats",2020-03-27,232440,55,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:03:24Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Mainstreet Records",0.592,0.576,10,-5.461,1,0.0329,0.0727,0,0.055,0.137,127.018,4
spotify:track:47ingfYiHbBRbYX3hDIqjT,"Tanto Faz","Celebridade","Orochi;PL Quest",2020-03-27,239076,64,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:03:31Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Mainstreet Records",0.697,0.763,3,-6.581,0,0.0419,0.0202,0,0.173,0.617,130.032,4
spotify:track:3zXIfbjxSzPMNP6JDZsQsi,"Mitsubishi","Celebridade","Orochi;Kizzy",2020-03-27,182181,73,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:03:44Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Mainstreet Records",0.751,0.571,11,-7.017,0,0.209,0.132,0,0.101,0.698,110.021,4
spotify:track:1qpI7UGsNj28Ttr95gzrEJ,"Assault","Celebridade","Orochi;Azevedo;Shok;Shenlong;Mainstreet;jess beats;R¥AN Txg",2020-03-27,288705,56,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:03:50Z,"trap brasileiro,hip hop brasileiro,trap funk,trap,funk,funk carioca","Mainstreet Records",0.561,0.567,8,-6.677,0,0.09,0.0441,0,0.0745,0.553,84.888,4
spotify:track:03lktDGYEv8pr5xHbQaln9,"Isso Que É Arte","Celebridade","Orochi;Kizzy",2020-03-27,280000,63,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:03:59Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Mainstreet Records",0.621,0.622,8,-6.439,0,0.0384,0.101,0,0.101,0.376,127.055,4
spotify:track:2E3XCbETX40q6k85K2ViND,"Antes do Sol Nascer","Celebridade","Orochi;Kizzy;PL Quest;Shok",2020-03-27,229333,67,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T05:04:13Z,"trap brasileiro,hip hop brasileiro,trap funk,trap,funk,funk carioca","Mainstreet Records",0.619,0.483,9,-7.973,0,0.0294,0.189,0,0.133,0.304,134.755,4
