Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6gxKUmycQX7uyMwJcweFjp,"We Paid (feat. 42 Dugg)","My Turn (Deluxe)","Lil Baby;42 Dugg",2020-05-01,181929,75,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:04:24Z,"","Quality Control/Motown Records",0.926,0.542,1,-5.064,1,0.293,0.135,0,0.0877,0.564,135.14,4
spotify:track:3z3Xzi1zgNJTq99Lly4SiI,"Russ Millions x Buni x Fumez The Engineer - Plugged In","Russ Millions x Buni x Fumez The Engineer - Plugged In","Fumez The Engineer;Russ Millions;Buni",2021-01-14,140689,0,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:10:29Z,"drill reino unido,drill,grime,grime reino unido","Fumez The Engineer",0.77,0.708,9,-10.13,1,0.313,0.124,0,0.128,0.616,144.996,4
spotify:track:2swRdG3vAk5bYBR3oSf1cg,"BM (London View)","BM (London View)","OTP",2021-07-23,164623,1,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:11:19Z,"drill reino unido,drill","Touch Paper Records",0.868,0.522,11,-8.601,1,0.355,0.24,0,0.235,0.8,143.01,4
spotify:track:4cSSL3YafYjM3yjgFO1vJg,"Walk Em Down (feat. Roddy Ricch)","Walk Em Down (feat. Roddy Ricch)","NLE Choppa;Roddy Ricch",2020-03-19,173288,60,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:12:11Z,"rap melódico","Warner Records",0.867,0.744,2,-5.171,1,0.227,0.268,0,0.0713,0.645,84.005,4
spotify:track:3WCXvxgQ7U3mznWsQjiEMu,"6locc 6a6y","6locc 6a6y","Lil Loaded",2019-12-06,131285,70,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:12:47Z,"drill","Lil Loaded Music",0.871,0.702,5,-8.025,1,0.253,0.296,0,0.0912,0.675,125.089,4
spotify:track:5jXuvCO3GRprPWKj0Dze8y,"Lil Jon 2","Lil Jon 2","Derek;MC Igu;Marreta",2021-08-03,222720,28,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:13:00Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","Derek Luccas",0.856,0.555,2,-7.183,1,0.258,0.576,0.0000378,0.449,0.352,110.017,4
spotify:track:68MTDH8Kk4jBEV1ah0n89s,"EA (feat. 21 Savage)","SlimeBall 2","Young Nudy;21 Savage",2017-08-11,227175,72,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:14:01Z,"","Paradise East Records, LLC",0.451,0.876,10,-5.205,0,0.414,0.261,0,0.098,0.227,87.306,5
spotify:track:2ABBlgwXo68orcunvBYYiY,"Aulas e Cursos","Aulas e Cursos","DNASTY",2022-04-01,213634,53,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:15:17Z,"trap brasileiro,hip hop brasileiro,trap","Labidad Music",0.761,0.571,6,-10.133,0,0.0349,0.0592,0,0.175,0.628,113.985,4
spotify:track:4qS2KPWvsQzLvRa9oCHw41,"You (feat. Travis Scott)","Life of a DON","Don Toliver;Travis Scott",2021-10-08,213636,85,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T20:19:08Z,"rap","Cactus Jack / Atlantic",0.782,0.528,1,-6.035,0,0.0532,0.409,0.0000789,0.0999,0.389,117.977,4
spotify:track:7uJH0YdSZL6psjxI6Xy08b,"Acquainted","Beauty Behind The Madness","The Weeknd",2015-08-28,348853,75,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:28:26Z,"","The Weeknd/Lyric",0.372,0.478,7,-9.835,0,0.0503,0.482,0,0.0844,0.254,101.102,4
spotify:track:6rhbL6MhAej39S8KupwjrC,"Final Lullaby - Bonus Track","After Hours (Deluxe)","The Weeknd",2020-04-03,185688,44,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:28:54Z,"","Republic Records",0.604,0.26,11,-10.498,1,0.0373,0.841,0.0000933,0.327,0.318,100.901,3
spotify:track:7rWCWzPRftzZTZtIyQtaDU,"KEEP IT BURNIN (feat. Kanye West)","I NEVER LIKED YOU","Future;Kanye West",2022-04-29,207213,52,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:29:59Z,"rap","Epic/Freebandz",0.652,0.578,0,-6.187,1,0.161,0.00861,0,0.285,0.195,87.395,4
spotify:track:33pp6wXPrz46pIwsBrG3HS,"City of Gods (Part II)","City of Gods (Part II)","Alicia Keys",2022-04-07,192000,1,false,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:30:59Z,"r&b,neo soul","AKW Records",0.29,0.421,8,-6.951,0,0.034,0.784,0,0.0897,0.308,78.027,4
spotify:track:3XOalgusokruzA5ZBA2Qcb,"pushin P (feat. Young Thug)","DS4EVER","Gunna;Future;Young Thug",2022-01-13,136266,69,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:33:35Z,"rap melódico,rap,trap","300 Entertainment",0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1
spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Knife Talk (with 21 Savage ft. Project Pat)","Certified Lover Boy","Drake;21 Savage;Project Pat",2021-09-03,242965,77,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:34:11Z,"rap,southern hip hop,crunk,gangster rap","OVO",0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,4
spotify:track:40iJIUlhi6renaREYGeIDS,"Fair Trade (with Travis Scott)","Certified Lover Boy","Drake;Travis Scott",2021-09-03,291175,83,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:34:46Z,"rap","OVO",0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,4
spotify:track:2bjwRfXMk4uRgOD9IBYl9h,"Portland","More Life","Drake;Quavo;Travis Scott",2017-03-18,236614,70,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:35:57Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.925,0.443,1,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078,4
spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Way 2 Sexy (with Future & Young Thug)","Certified Lover Boy","Drake;Future;Young Thug",2021-09-03,257604,75,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:36:02Z,"rap,rap melódico,trap","OVO",0.803,0.597,11,-6.035,0,0.141,0.000619,0.0000045,0.323,0.331,136.008,4
spotify:track:2HSmyk2qMN8WQjuGhaQgCk,"Champagne Poetry","Certified Lover Boy","Drake",2021-09-03,336511,75,true,8jtopaclkzi6fkcxvnzy3t27q,2022-05-05T22:38:16Z,"rap","OVO",0.423,0.667,6,-7.012,0,0.326,0.758,0,0.246,0.496,86.743,4
