Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4kwQ5HS3XUyIjDVESkrgWJ,"Insetos","Escolhas e Reflexos","Dudu;Ribb;Iuri Rio Branco",2024-11-07,154000,33,false,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:06:29Z,"trap brasileiro,hip hop brasileiro,trap,funk consciente,boom bap","Som Livre",0.629,0.491,3,-13.791,1,0.128,0.209,0,0.13,0.663,139.808,4
spotify:track:7ytjb8ZvBX7hViPXKBJp95,"Pra Se Entorpecer","Escolhas e Reflexos","Dudu;Yunk Vino;Iuri Rio Branco",2024-11-07,160000,33,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:06:42Z,"trap brasileiro,hip hop brasileiro,trap,trap funk,boom bap","Som Livre",0.664,0.336,2,-18.907,1,0.0931,0.115,0,0.0973,0.354,110.033,4
spotify:track:6vqHCFSzYNzg96n8NoKxHt,"Mundo da Fama","Escolhas e Reflexos","Dudu;Mc Dricka;Major RD;Iuri Rio Branco",2024-11-07,213994,32,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:06:47Z,"trap brasileiro,hip hop brasileiro,trap,funk,brega funk,funk de bh,trap funk,boom bap","Som Livre",0.773,0.827,2,-3.753,1,0.164,0.577,0,0.272,0.565,139.971,4
spotify:track:6GfoDDI4Kdc1htSqSQaG5P,"Loop","Escolhas e Reflexos","Dudu;OGBEATZZ;Nandela;c4;Iuri Rio Branco;JP Diazz;Tkd",2024-11-07,120021,33,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:06:51Z,"trap brasileiro,hip hop brasileiro,trap,funk consciente,trap funk,funk,boom bap","Som Livre",0.709,0.408,4,-16.64,0,0.269,0.608,0,0.111,0.498,136.149,4
spotify:track:1xyfg4Legt3mDtgMNCi9Zk,"Missão","Escolhas e Reflexos","Dudu;PJ HOUDINI;JP Diazz;TR3VAS;Iuri Rio Branco",2024-11-07,117000,28,false,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:07:08Z,"trap brasileiro,hip hop brasileiro,trap,trap funk,boom bap","Som Livre",0.825,0.498,1,-7.206,1,0.26,0.0147,0.0362,0.106,0.565,156.996,4
spotify:track:2paAeGAcxrYFx8nNuqvy2p,"Eu Não Vou Ligar","Escolhas e Reflexos","Dudu;Leviano;Tibery;Stuani;Iuri Rio Branco",2024-11-07,228000,32,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:07:54Z,"trap brasileiro,hip hop brasileiro,trap,trap funk,boom bap","Som Livre",0.74,0.192,4,-23.685,0,0.132,0.389,0,0.134,0.496,140.961,4
spotify:track:1K7NHzkutNMEqc4jE2LjHq,"Melhor Sozinho","Escolhas e Reflexos","Dudu;BIN;Marquinho no Beat;Rocco;H4lfmeasures;Iuri Rio Branco",2024-11-07,146997,30,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:09:03Z,"trap brasileiro,hip hop brasileiro,trap,trap funk,funk,boom bap","Som Livre",0.647,0.706,2,-4.787,0,0.538,0.0787,0,0.107,0.736,159.791,4
spotify:track:3YgqR2xkM3cfAfaBN9pMLv,"Quarto 28","Escolhas e Reflexos","Dudu;Menor MC;Mc Davi;Dj Yuri Pedrada;DJ WN;Iuri Rio Branco",2024-11-07,248997,38,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:09:25Z,"trap brasileiro,hip hop brasileiro,trap,trap funk,funk,funk consciente,boom bap","Som Livre",0.875,0.301,7,-10.728,0,0.184,0.685,0.00000116,0.0631,0.547,113.205,5
spotify:track:06bYQc04V55BwlonklgiB9,"Amor","Escolhas e Reflexos","Dudu;Adrielzinho;Dj Yuri Pedrada;Iuri Rio Branco",2024-11-07,122005,29,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:09:41Z,"trap brasileiro,hip hop brasileiro,trap,brega funk,brega,funk,trap funk,funk consciente,boom bap","Som Livre",0.861,0.187,5,-20.873,0,0.829,0.611,0,0.0746,0.893,127.867,4
spotify:track:3ANMfAxYqSXxxaS7kWIPtg,"Filho da Noite","Escolhas e Reflexos","Dudu;Leozin;Iuri Rio Branco",2024-11-07,131146,33,true,8jtopaclkzi6fkcxvnzy3t27q,2024-11-21T20:10:05Z,"trap brasileiro,hip hop brasileiro,trap,boom bap","Som Livre",0.78,0.525,8,-10.772,1,0.22,0.121,0.00201,0.0816,0.473,134.987,4
